"Systems
Composition",total Dielec. Const.
CH2 CH2 CH2 CH2,2.502
CH2 CH2 CH2 GeCl2,3.6
CH2 CH2 CH2 SiF2,3.147
CH2 CH2 CH2 SiCl2,3.009
CH2 CH2 CH2 SnF2,6.237
CH2 CH2 CH2 SnCl2,4.255
CH2 CH2 GeF2 GeF2,7.0310000000000015
CH2 CH2 GeCl2 GeF2,6.097
CH2 CH2 GeCl2 GeCl2,5.385
CH2 CH2 SiF2 GeF2,5.722
CH2 CH2 SiF2 GeCl2,4.673
CH2 CH2 SiF2 SiF2,4.357
CH2 CH2 SiCl2 GeF2,5.175
CH2 CH2 SiCl2 SiF2,3.8510000000000004
CH2 CH2 SiCl2 SiCl2,3.696
CH2 CH2 SnF2 GeF2,12.404000000000002
CH2 CH2 SnF2 GeCl2,11.325
CH2 CH2 SnF2 SiF2,5.002
CH2 CH2 SnCl2 GeF2,14.197000000000001
CH2 CH2 SnCl2 GeCl2,7.883999999999999
CH2 CH2 SnCl2 SiF2,4.322
CH2 CH2 SnCl2 SiCl2,3.6889999999999996
CH2 CH2 SnCl2 SnF2,12.843
CH2 CH2 SnCl2 SnCl2,7.31
CH2 GeF2 CH2 GeF2,5.4
CH2 GeF2 CH2 GeCl2,4.747
CH2 GeF2 CH2 SiF2,4.7010000000000005
CH2 GeF2 CH2 SiCl2,4.375
CH2 GeF2 CH2 SnF2,7.312
CH2 GeF2 CH2 SnCl2,5.75
CH2 GeF2 GeF2 GeF2,11.745999999999999
CH2 GeF2 GeCl2 GeF2,9.916
CH2 GeF2 SiF2 GeF2,8.073
CH2 GeF2 SnF2 GeF2,14.835999999999999
CH2 GeF2 SnCl2 GeF2,11.6
CH2 GeCl2 CH2 GeCl2,4.494
CH2 GeCl2 CH2 SiF2,4.1739999999999995
CH2 GeCl2 CH2 SiCl2,4.198
CH2 GeCl2 CH2 SnF2,6.249
CH2 GeCl2 CH2 SnCl2,5.265
CH2 GeCl2 GeF2 GeF2,9.924
CH2 GeCl2 GeF2 GeCl2,8.422
CH2 GeCl2 GeCl2 GeF2,8.703
CH2 GeCl2 SiF2 GeF2,6.936
CH2 GeCl2 SiCl2 GeF2,6.31
CH2 GeCl2 SnF2 GeF2,11.687999999999999
CH2 GeCl2 SnCl2 GeF2,10.885
CH2 GeCl2 SnCl2 GeCl2,9.647
CH2 SiF2 CH2 SnF2,5.961
CH2 SiF2 CH2 SnCl2,4.827
CH2 SiF2 GeF2 GeF2,9.568
CH2 SiF2 GeF2 GeCl2,7.3420000000000005
CH2 SiF2 GeCl2 GeF2,7.432
CH2 SiF2 GeCl2 GeCl2,6.648
CH2 SiF2 GeCl2 SiF2,5.7970000000000015
CH2 SiF2 SiF2 GeF2,6.324
CH2 SiF2 SiF2 GeCl2,5.872000000000001
CH2 SiF2 SiF2 SiF2,6.149
CH2 SiF2 SiCl2 GeF2,6.046
CH2 SiF2 SiCl2 SiF2,4.856
CH2 SiF2 SnF2 GeF2,13.731
CH2 SiF2 SnF2 SiF2,11.149000000000001
CH2 SiF2 SnCl2 GeF2,9.267000000000001
CH2 SiF2 SnCl2 GeCl2,8.435
CH2 SiF2 SnCl2 SiF2,7.192
CH2 SiCl2 CH2 SiCl2,3.8
CH2 SiCl2 CH2 SnF2,5.671
CH2 SiCl2 CH2 SnCl2,4.848
CH2 SiCl2 GeF2 GeF2,8.398
CH2 SiCl2 GeF2 GeCl2,8.693
CH2 SiCl2 GeF2 SiF2,7.675
CH2 SiCl2 GeF2 SiCl2,6.0360000000000005
CH2 SiCl2 GeCl2 GeF2,7.39
CH2 SiCl2 GeCl2 SiCl2,5.475
CH2 SiCl2 SiF2 GeF2,6.104
CH2 SiCl2 SiF2 GeCl2,5.739
CH2 SiCl2 SiF2 SiCl2,5.539
CH2 SiCl2 SiCl2 GeF2,5.774
CH2 SiCl2 SiCl2 GeCl2,5.24
CH2 SiCl2 SiCl2 SiF2,4.762
CH2 SiCl2 SiCl2 SiCl2,4.615
CH2 SiCl2 SnF2 GeF2,13.13
CH2 SiCl2 SnF2 SiF2,9.162
CH2 SiCl2 SnF2 SiCl2,9.142000000000001
CH2 SiCl2 SnCl2 SiF2,7.085
CH2 SiCl2 SnCl2 SiCl2,6.6960000000000015
CH2 SnF2 GeF2 GeF2,17.386
CH2 SnF2 GeF2 GeCl2,15.645999999999999
CH2 SnF2 GeF2 SiF2,11.5
CH2 SnF2 GeF2 SiCl2,11.959000000000001
