MP-ID,System,G_Voigt
mvc-11484,CaTiO3,102
mvc-11438,CoSe2,15
mvc-8959,CaLaFeSbO6,45
mvc-8242,CaSn2O5,49
mvc-4415,Ta2O5,74
mvc-15643,WO3,65
mvc-10478,CaBi4O9,39
mvc-16316,YMnO3,67
mvc-6389,WO2,47
mvc-5897,Zn(CuO2)2,40
mvc-8365,MgFe2O5,32
mvc-11651,Zn(CrSe2)2,32
mvc-16413,Zn2Mo3O8,51
mvc-678,Ti(WO4)2,31
mvc-15272,Ca2CoN2,43
mvc-3769,YMoO3,41
mvc-3978,Ca2Co2O5,52
mvc-7786,Zn(WO2)2,50
mvc-13900,YCuO3,59
mvc-11233,CoS2,28
mvc-11780,MoS2,33
mvc-5096,WO3,109
mvc-16089,ZnCu2SnSe4,26
mvc-3988,Ca2Fe2O5,51
mvc-7794,Mg(MoO2)2,56
mvc-14201,Ca3Sn2O7,63
mvc-14941,MoO3,32
mvc-11813,CaLaMn2O6,67
mp-22712,YPd2Pb,27
mvc-3263,CaFeSiO5,49
mvc-5884,Mg(CuO2)2,35
mvc-6590,TiO2,123
mvc-4607,Mo2O5,42
mvc-3525,VZnF4,26
mvc-13455,MoN2,59
mvc-14334,MgVF5,38
mvc-6281,Zn(CuO2)2,43
mvc-6921,MgMn2O4,64
mvc-11699,AlCuO2,94
mvc-16068,CaNiN,61
mvc-2125,AlFe4(CuO4)3,24
mvc-12022,MnO2,59
mvc-5517,Zn(AgO2)2,30
mvc-11944,V2O5,32
mvc-14149,CoO2,48
mvc-12484,CaTi2O4,88
mvc-10896,Ti2AlO4,74
mvc-6093,Zn(FeO2)2,75
mp-3702,FeCuPt2,78
mp-8871,CsNa2BO3,25
mp-865162,MgGeRh2,68
mp-9556,SrZnSi,40
mp-25180,Nd2WO6,54
mp-29596,Ca3AlN3,47
mp-22617,YNiSn,44
mp-862563,Sc2BeTc,47
mp-30427,BaZnBi2,19
mp-23558,Ag2BiO3,22
mp-11431,CaGa3Ni2,41
mp-9324,Ba3MnN3,21
mp-7524,NbPSe,77
mp-560340,La2Pd2O5,52
mp-862561,ScSbRu2,102
mp-5072,Rb2HgO2,12
mp-3805,Al(FeB)2,131
mp-20790,InPS4,12
mp-672645,TiSiRh,90
mp-1251,VRh,104
mp-16524,ScAlPd2,42
mp-10086,YSF,54
mp-5962,NaMgAs,21
mp-865490,V2CrFe,114
mp-2480,OsSe2,109
mp-989579,Rb2LiTlCl6,10
mp-7739,Ba2ZnF6,25
mp-865888,TiSnRu2,108
mp-862431,Sc2AgOs,46
mp-558781,ScTaO4,75
mp-865868,LiZrRh2,47
mp-7918,HfGeS,83
mp-867137,ScVRu2,93
mp-4152,Ga2CoS4,30
mp-865866,LiZrPt2,24
mp-2831,FePd,82
mp-20935,ZrSnIr,65
mp-867156,ScGaRu2,68
mp-7632,NiMoP,96
mp-8150,Ba(CdSb)2,19
mp-865928,Ti2TcPt,77
mp-861629,LiMnPd2,42
mp-20983,V2InC,103
mp-1682,ZrAs,71
mp-22232,TlInSe2,12
mp-862600,Be2RhPt,117
mp-864883,MgSnPd2,38
mp-779948,ZrMnO3,67
mp-4475,Tl(CoSe)2,22
mp-4756,ZnSnSb2,24
mp-10894,MnAlRh2,96
mp-20905,OsS2,144
mp-650,Be5Pd,132
mp-862546,Sc2AlRu,41
mp-7066,ScNiGe,64
mp-862710,Sc2CdTc,30
mp-21471,LiFeAs,42
mp-550908,SrHfO3,100
mp-772245,CrPtO2,87
mp-12623,BaPdF4,16
mp-3700,LiYF4,33
mp-760439,TaTiO4,108
mp-15649,As2Ir,100
mp-865131,Hf2OsRh,55
mp-4474,V4GaS8,47
mp-10469,NbSiPt,82
mp-19420,Sr2MgWO6,72
mp-1474,Re3P4,141
mp-2260,FePt,98
mp-15322,ScSiCu,78
mp-2682,Sb2Rh,63
mp-11808,ScNi4Sn,58
mp-30726,YHg3,19
mp-22151,BaGePt,23
mp-4343,Sr(MnAs)2,34
mp-11957,CaSn2Ir,41
mp-17518,Sr2TaN3,39
mp-22731,MnInNi2,49
mp-1009083,MgSnP2,29
mp-1001019,Mg(ScSe2)2,22
mp-9743,SrAsPd,28
mp-28614,NaBPt3,52
mp-4175,ZnSnP2,41
mp-32407,TaVO5,45
mp-22811,InCuSe2,23
mp-862723,ScTc2Mo,78
mp-15777,Zn(GaTe2)2,20
mp-769889,TaFeO4,84
mp-862257,Sc2ZnAu,45
mp-865803,Ti2MoPt,91
mp-30722,ScHg3,21
mp-862297,LiAlRh2,65
mp-23736,LiMgH3,33
mp-1014252,Hf3ZnN,91
mp-3721,SrHfO3,96
mp-8630,SbIrS,88
mp-22565,MnSiRh,72
mp-570074,Sc3IrC4,122
mp-865966,BeAlIr2,126
mp-4992,ScCrC2,135
mp-22027,MnSnAu,23
mp-9225,ScSiPt,63
mp-10911,Sc2Al3Ru,68
mp-6613,Ba2YTaO6,82
mp-30151,CuAuSe4,23
mp-7090,NaMgSb,16
mp-12961,YAlPd,33
mp-12595,MoRh,136
mp-16349,LiNi2Ge,61
mp-557233,AlTlF4,27
mp-23183,NdCl3,19
mp-23179,NiBi3,10
mp-11273,Be3Nb,126
mp-10125,SbIr,63
mp-554107,K2Na4Ge2O7,23
mp-541487,TlPt2Se3,18
mp-8608,K(Cu2As)2,25
mp-867769,ScZnRh2,63
mp-4573,TlSbTe2,21
mp-8401,CsMgF3,38
mp-30438,Be2Cr,158
mp-15987,Hf3(SiCu2)2,84
mp-24151,DyH2,53
mp-9166,MgCN2,48
mp-15724,KNa2Sb,13
mp-643718,BaMgH4,30
mp-867270,Be2CoPt,110
mp-865809,TiTc2Sb,96
mp-865912,LiZn2Rh,47
mp-16266,CaZnSi,45
mp-4593,Mn3AlC,133
mp-866094,HfZnCu2,51
mp-862655,Ru3W,163
mp-8732,Ta2Se,41
mp-862261,Sc2ZnRu,37
mp-570677,Ba5Al5Sn,18
mp-30774,MgNi2Sn,55
mp-769933,NiHgO2,42
mp-4091,Ni2Mo3N,142
mp-16719,Al12Tc,74
mp-777413,CeScO3,74
mp-22227,ZrMnSi,90
mp-10969,CdCN2,28
mp-8578,Sc3InC,82
mp-862338,Sc2CuRu,48
mp-867927,LiVIr2,110
mp-867110,Sc2CoOs,63
mp-867748,ScSnRu2,80
mp-2894,ScSnAu,44
mp-19722,MnCu2SnS4,26
mp-10873,ScAlAu2,25
mp-12137,Ca(ZnSi)2,37
mp-30312,Ca2SiIr2,42
mp-772246,TaVO4,110
mp-27768,Co(BW)3,205
mp-772231,RbCrO2,71
mp-865234,TaZnRu2,88
mp-15776,Zn(GaSe2)2,25
mp-12533,La2Hf2O7,89
mp-19405,Ni(AgO)2,33
mp-864672,NbSiTc2,87
mp-697030,Mg2H6Ru,53
mp-14983,Si4P4Ru,91
mp-19734,MgPbF6,28
mp-7482,RbHgF3,17
mp-637614,Zn3(InS3)2,22
mp-10457,HfSiPd,94
mp-553243,YBi2BrO4,40
mp-5529,MnFe2Si,117
mp-3587,Sc(SiNi)2,63
mp-764061,Na6CoO4,26
mp-2252,ScB2,196
mp-15780,MgPPt5,79
mp-865497,V2ReOs,144
mp-20180,Mn3GeC,126
mp-865678,TiMn2V,89
mp-867779,Ta2CrFe,104
mp-4124,CaCN2,28
mp-2354,Ti3Hg,69
mp-11275,Be2Re,173
mp-3657,TiCo2Si,91
mp-861672,Ti2FeIr,73
mp-7849,AlAsO4,20
mp-601285,MnGaNi2,74
mp-864932,Mg2AgPt,41
mp-862370,Sc2RuPd,54
mp-31011,Y2Si2Rh,64
mp-866160,Y2AgIr,32
mp-30661,ScGaPd2,32
mp-865793,LiSc2Rh,30
mp-4563,Ti3TlC,84
mp-865506,VSiOs2,126
mp-865869,Be2CuPt,67
mp-552934,Ba2CuBrO2,15
mp-610972,MnGePd,40
mp-8418,ZrCoP,116
mp-582360,TaPd3,79
mp-20557,YSiNi,64
mp-7823,V2NiSe4,44
mp-12561,TaAs2,99
mp-989512,LiTl2InCl6,11
mp-553946,CoAsS,99
mp-754134,HfZrO4,110
mp-4182,CrAgS2,28
mp-976334,Li3Tc,23
mp-582736,Eu(MgSb)2,27
mp-22444,Ta4FeP,102
mp-23797,LiH6ClO7,11
mp-34467,Zn(GaS2)2,32
mp-672254,CaPdPb,26
mp-12952,HfGaAu,62
mp-864650,Ta2OsW,134
mp-6606,SrYSi4N7,102
mp-571499,TaIr,100
mp-20354,MgMnGe,51
mp-865876,Ti2TcOs,101
mp-11806,LiMgSnPt,47
mp-864640,Ta2NbIr,108
mp-569628,CaCdAu,21
mp-20337,ZrPbO3,50
mp-8973,NaSi2N3,119
mp-11560,TiSiRu,105
mp-755478,CdBiO3,34
mp-5549,MgSnAu,24
mp-16905,Ba2MnTe3,16
mp-4678,Zr2AlN,94
mp-505540,TiAsRh,77
mp-776205,Hf2N2O,94
mp-979435,YMg2Sc,31
mp-866173,Y2RuRh,48
mp-7429,Ca(ZnSb)2,22
mp-20618,Y2Co3Si5,66
mp-9942,Ti2FeS4,58
mp-2695,Sb2Os,92
mp-8842,CaSiPd,35
mp-1252,ZrBe2,97
mp-8487,CaSbPt,36
mp-540719,PbWO4,28
mp-10266,ZnFe3C,109
mp-3390,Y(SiCu)2,76
mp-11388,GaIr,68
mp-10405,Yb(AlSi)2,43
mp-865898,TiZnCo2,91
mp-865665,TiReTc2,123
mp-4238,MnFeAs,74
mp-31171,Zn2AgAu,35
mp-30981,Te(HO)6,20
mp-15722,Fe2B4Mo,179
mp-753798,Rb2SnO3,21
mp-557680,NbAgO3,58
mp-3216,Li2ZrN2,117
mp-265,TaIr3,217
mp-1890,BMo,201
mp-19210,CoPtO2,67
mp-9956,AlCr2C,134
mp-865717,Ti2ReIr,117
mp-676828,ZnCuAs,26
mp-31160,CaZnSn,36
mp-864919,MgTiRh2,77
mp-571039,CaAlPd,30
mp-867761,Sc2CoRu,61
mp-13314,ScTlTe2,22
mp-10284,YSi3Ni,86
mp-568402,Sr(SiPd)2,44
mp-29175,Ca2AuN,32
mp-865681,TiSiRu2,132
mp-6353,Y2Si4CN6,102
mp-864645,YbSiPt2,48
mp-30028,YSi2Rh3,99
mp-29374,KGaSb4,14
mp-7908,Al2ZnTe4,20
mp-7601,NbGaO4,61
mp-865444,LiSc2Pt,37
mp-864940,Mg2RhPt,62
mp-862365,Sc2OsPd,61
mp-31625,Cr2ReO6,116
mp-1135,NbPd3,89
mp-568992,ZrIr,68
mp-973966,LiIn(IO3)4,22
mp-753192,Yb4Sb2O,37
mp-20586,VCo2Si,85
mp-12678,TaMn2,89
mp-2348,Zr2Au,49
mp-30737,YMgAg,22
mp-10322,BaHfN2,49
mp-4056,CaSc2O4,84
mp-5387,YNbO4,56
mp-862712,Sc2CoIr,66
mp-613327,Fe(BW)2,183
mp-14796,KPt2Se3,16
mp-7080,Li5(NiN)3,60
mp-582011,CeCl3,17
mp-16297,Sc3SnC,82
mp-11283,ZrBe5,116
mp-11917,Mg(BeN)2,169
mp-7443,Nb2CrSe4,48
mp-30460,YNiBi,49
mp-867821,TaTiMn2,94
mp-867846,TaTiRe2,118
mp-867243,Sc2ZnOs,48
mp-731,Mg3Hg,18
mp-4492,MnCo2Si,113
mp-7559,YNi4B,75
mp-2920,LaAlO3,109
mp-570835,NiHg4,27
mp-9177,Y2Al3Si2,66
mp-839,V3Au,79
mp-7377,Ba3(AlSn)2,20
mp-22418,Sr3(SnIr)4,32
mp-8409,KYO2,53
mp-16497,ScAlCu2,50
mp-4081,TaCu3Se4,22
mp-862609,ScReTc2,112
mp-10161,KZnSb,19
mp-861912,TaTiTc2,103
mp-29623,SrZnBi2,18
mp-35397,Bi2WO8,38
mp-754165,ScGaO3,84
mp-10259,Zr(NiP)2,62
mp-555307,Ba2CoF6,27
mp-542435,Li3ScN2,65
mp-10676,Sc2AlSi2,76
mp-644264,Ca4Mg4Fe3H22,44
mp-676058,V3NiS6,42
mp-8458,BaAsPt,24
mp-18919,CoPdO2,51
mp-10670,Ca3(AlGe)2,34
mp-558838,NiPtF6,33
mp-19928,Hf2CuSb3,49
mp-34169,Zn(InSe2)2,19
mp-8439,Ca5(AlSb3)2,23
mp-19929,MgInNi2,52
mp-20320,InTe,12
mp-7929,Rb2PtS2,19
mp-866162,YMgAg2,14
mp-1006146,Eu(MgBi)2,22
mp-16363,CoAsS,107
mp-644278,Y2H2C,66
mp-4628,ZrSiSe,74
mp-3201,Li2GaPd,35
mp-2395,Sb3Rh,52
mp-865840,Ti2TcIr,119
mp-2449,NbRh3,150
mp-28024,YSiPd2,51
mp-866143,TiBeRh2,94
mp-14763,Ca3MnN3,52
mp-7400,NaAlGe,21
mp-11366,ZrZnCu2,47
mp-11350,CaAl9Co2,56
mp-6812,KBaPO4,26
mp-31153,CaGePt,37
mp-864684,Hf2MoIr,81
mp-2677,ScPd3,62
mp-31456,HfSbRu,48
mp-8188,KScO2,65
mp-2752,Nb3Au,69
mp-12951,ZrGaAu,63
mp-8818,Ca2ZnN2,49
mp-556424,RbVF3,37
mp-19167,Rb2NiO2,12
mp-567769,Ca(SiPd)2,43
mp-864639,Ta2NbOs,105
mp-9570,Ca(CdP)2,35
mp-867897,ScTaRu2,104
mp-23121,Sr5P3ClO12,37
mp-3701,Sc(Al2Fe)4,87
mp-5590,YMgGa,49
mp-5407,TiAlCo2,94
mp-22313,Na2PtO2,34
mp-865231,LiScTl2,22
mp-1545,Nb3Rh,95
mp-568137,Cs3Mg2Cl7,11
mp-19963,TiFe2Sn,106
mp-1120,Mo3Ir,115
mp-5478,TlPd3O4,37
mp-4276,NaSi2Pd3,46
mp-865495,V2CrTc,104
mp-569989,Nb2C,121
mp-28770,Ca2FeN2,45
mp-10180,Li2SbPd,36
mp-11537,NbAlRu2,117
mp-7573,Co(BW)2,211
mp-8994,Rb2NbF6,11
mp-864920,MgZrAu2,37
mp-31168,Li2AlAg,30
mp-625094,Cd(HO)2,21
mp-9744,BaAsPd,25
