SMILES,GAP
C(CC)C,6.32
O=CCCCCCN,4.75
[nH]1cncc1-c1[nH]ccn1,2.15
OCC[C@H](O)C,5.39
OCC[C@H](O)C,5.25
O(C(O)=O)c1ccc(cc1)C(C)(C)c1ccccc1,4.31
O(C(=O)C(C)C)C,4.94
OCCCC[C@@H](O)CCC,5.39
O(c1ccc(cc1)C(=O)c1ccc(O)cc1)c1ccccc1,2.54
OCCCC[C@@H](O)CCC,5.19
O(CCOC)C,4.89
NCCC,4.24
O=CCCC,3.65
c1ccccc1CCC,4.17
s1cccc1CCCC,3.71
N(N)CC,3.74
O=CNCC,4.63
S(=O)(=O)(c1ccc(O)cc1)c1ccccc1,3.35
N(CC)c1ccccc1,3.43
s1cccc1NCC,3.2
O=C(CC)C=O,2.02
O=C(CC)c1ccccc1,3.23
s1cccc1C(=O)CC,3.12
Nc1ccc(cc1)CC,3.44
O=Cc1ccc(cc1)CC,3.0
c1cc(ccc1-c1ccccc1)CC,3.33
s1cccc1-c1ccc(cc1)CC,2.92
C(CC(C)C)(C)(C)C,4.81
s1c(ccc1N)CC,3.21
s1c(ccc1C=O)CC,3.08
s1c(ccc1CC)-c1ccccc1,3.04
s1c(ccc1CC)-c1sccc1,2.69
N(CN)C,4.04
O=CCNC,3.17
N(Cc1ccccc1)C,3.58
N(NN)C,3.49
O=CNNC,4.34
FCC[C@@H](F)C,5.68
N(NC)c1ccccc1,2.98
s1cccc1NNC,3.24
O=C(NC)N,4.03
O=C(NC)C=O,2.49
O=C(NC)c1ccccc1,3.61
s1cccc1C(=O)NC,3.41
N(C)c1ccc(N)cc1,3.11
N(C)c1ccc(cc1)-c1ccccc1,2.84
O(CO)C,5.29
s1c(NC)ccc1N,2.46
s1c(ccc1NC)C=O,2.32
s1c(ccc1NC)-c1sccc1,2.39
O=C(CC=O)C,2.42
O=C(NN)C,3.78
O=C(NC=O)C,2.69
O=C(Nc1ccccc1)C,3.54
FC(F)(C(F)(F)C(F)F)C(F)F,5.53
s1cccc1NC(=O)C,3.21
O=C(C(=O)N)C,2.48
O=C(C(=O)C)c1ccccc1,1.83
s1cccc1C(=O)C(=O)C,1.89
O=C(C)c1ccc(N)cc1,2.46
O=C(C)c1ccc(cc1)C=O,3.02
O=C(C)c1ccc(cc1)-c1ccccc1,2.75
s1cccc1-c1ccc(cc1)C(=O)C,2.56
s1c(ccc1N)C(=O)C,2.31
O=C(N)CC[C@H](C(=O)N)C,3.55
s1c(ccc1C=O)C(=O)C,1.87
s1c(ccc1C(=O)C)-c1ccccc1,2.51
s1c(ccc1C(=O)C)-c1sccc1,2.14
c1cc(ccc1Cc1ccccc1)C,4.16
s1cccc1Cc1ccc(cc1)C,3.76
N(N)c1ccc(cc1)C,2.98
O=CNc1ccc(cc1)C,3.55
N(c1ccc(cc1)C)c1ccccc1,3.19
s1cccc1Nc1ccc(cc1)C,3.14
O=C(N)c1ccc(cc1)C,3.6
FC(F)([C@@H](F)C(F)F)CF,5.49
O=C(C=O)c1ccc(cc1)C,1.84
O=C(c1ccc(cc1)C)c1ccccc1,3.2
s1cccc1C(=O)c1ccc(cc1)C,2.72
Nc1ccc(cc1)-c1ccc(cc1)C,2.87
c1cc(ccc1-c1ccc(cc1)C)-c1ccccc1,2.73
s1cccc1-c1ccc(cc1)-c1ccc(cc1)C,2.57
s1c(ccc1N)-c1ccc(cc1)C,2.57
s1c(ccc1C=O)-c1ccc(cc1)C,2.49
s1c(ccc1-c1ccccc1)-c1ccc(cc1)C,2.57
N#CCC[C@@H](C#N)C,4.26
"O(C(=O)CC[C@H](C(OCCCC)=O)C)C
CCC",4.22
s1c(ccc1-c1sccc1)-c1ccc(cc1)C,2.29
s1c(ccc1C)Cc1sccc1,3.66
s1c(ccc1NN)C,3.19
s1c(ccc1NC=O)C,3.21
s1c(ccc1Nc1ccccc1)C,3.29
s1c(ccc1Nc1sccc1)C,2.78
s1c(ccc1C)C(=O)N,3.41
s1c(ccc1C)C(=O)C=O,1.89
s1c(ccc1C)C(=O)c1ccccc1,2.68
s1c(ccc1C)C(=O)c1sccc1,2.61
O(C(=O)CC[C@@H](C(OCC)=O)C)CC,4.75
s1c(ccc1C)-c1ccc(cc1)C=O,2.56
