k1,k2,porosity,k-LBM
1,2,0.0111754,1.01773
1,2,0.0125478,1.01835
1,2,0.016567,1.02124
1,2,0.042348800000000006,1.03875
1,2,0.0427409,1.04039
1,2,0.043133,1.04023
1,2,0.0599941,1.0506799999999998
1,2,0.0633271,1.05554
1,2,0.0688168,1.05844
1,2,0.0723458,1.06001
1,2,0.08685419999999999,1.07261
1,2,0.0885207,1.0728799999999998
1,2,0.115185,1.09367
1,2,0.123027,1.0992
1,2,0.123909,1.09942
1,2,0.137045,1.1091
1,2,0.140476,1.11246
1,2,0.14263299999999998,1.11335
1,2,0.160474,1.12827
1,2,0.16518,1.12995
1,2,0.169787,1.13422
1,2,0.172532,1.13514
1,2,0.175277,1.13745
1,2,0.187825,1.14929
1,2,0.197628,1.15233
1,2,0.199,1.15946
1,2,0.208803,1.1655799999999998
1,2,0.212822,1.1680700000000002
1,2,0.231448,1.18091
1,2,0.231742,1.18537
1,2,0.233801,1.18044
1,2,0.234977,1.18731
1,2,0.241251,1.19374
1,2,0.25223,1.20314
1,2,0.265268,1.21153
1,2,0.270366,1.21409
1,2,0.282227,1.22471
1,2,0.306244,1.25208
1,2,0.310656,1.25983
1,2,0.314871,1.24999
1,2,0.330556,1.26977
1,2,0.332124,1.26747
1,2,0.338104,1.2763
1,2,0.347221,1.28189
1,2,0.355063,1.29079
1,2,0.357612,1.29826
1,2,0.361827,1.2989700000000002
1,2,0.366239,1.29476
1,2,0.0398,1.0372
1,2,0.092638,1.07621
1,2,0.0936183,1.07689
1,2,0.188217,1.14973
1,2,0.189687,1.14427
1,2,0.292716,1.23062
1,2,0.298598,1.23757
1,2,0.333595,1.2678
1,4,0.0111754,1.0258200000000002
1,4,0.0111754,1.02532
1,4,0.0125478,1.02664
1,4,0.0162729,1.03333
1,4,0.0405843,1.0657
1,4,0.042348800000000006,1.06572
1,4,0.0427409,1.07058
1,4,0.043133,1.0697
1,4,0.0599941,1.08773
1,4,0.0633271,1.10368
1,4,0.0688168,1.10679
1,4,0.0698951,1.10354
1,4,0.0723458,1.1077
1,4,0.08685419999999999,1.13611
1,4,0.092638,1.14329
1,4,0.0936183,1.14451
1,4,0.115185,1.1752200000000002
1,4,0.115185,1.18099
1,4,0.120282,1.17841
1,4,0.123027,1.19308
1,4,0.137045,1.21176
1,4,0.14263299999999998,1.22131
1,4,0.145476,1.21015
1,4,0.160474,1.25502
1,4,0.16518,1.25597
1,4,0.175277,1.26936
1,4,0.187825,1.29996
1,4,0.188217,1.30336
1,4,0.189687,1.27686
1,4,0.197628,1.2995
1,4,0.199,1.32619
1,4,0.212822,1.34072
1,4,0.213018,1.3375
1,4,0.216351,1.35443
1,4,0.231448,1.36545
1,4,0.231742,1.38739
1,4,0.234977,1.38684
1,4,0.241251,1.40852
1,4,0.265268,1.44086
1,4,0.26615,1.45793
1,4,0.270366,1.44661
1,4,0.277718,1.49781
1,4,0.282227,1.47002
1,4,0.292716,1.48441
1,4,0.314871,1.52996
1,4,0.330556,1.5965
1,4,0.335947,1.57761
1,4,0.338104,1.6106
1,4,0.347221,1.62007
1,4,0.355063,1.64697
1,4,0.357612,1.68198
1,4,0.361827,1.672
1,4,0.366239,1.63867
1,4,0.016567,1.03176
1,4,0.0398,1.06287
1,4,0.0885207,1.13591
1,4,0.123909,1.19009
1,4,0.172532,1.26475
1,4,0.333595,1.57903
1,6,0.0111754,1.02924
1,6,0.0125478,1.03099
1,6,0.016567,1.0369700000000002
1,6,0.0398,1.07587
1,6,0.042348800000000006,1.07924
1,6,0.0427409,1.08661
1,6,0.043133,1.08511
1,6,0.0599941,1.10592
1,6,0.0688168,1.13303
1,6,0.0698951,1.12649
