"6-block periodic repeat unit
for wurtzite superlattices along the [0001] direction",c11 (GPa)
AgI-AgI-AgI-AgI-InSb-InSb,25.37
AgI-AgI-AgI-CdTe-CdTe-InSb,21.36
AgI-AgI-AgI-InSb-InSb-InSb,21.14
AgI-AgI-CdTe-CdTe-CdTe-InSb,34.8
AgI-CdTe-CdTe-CdTe-CdTe-CdTe,44.25
AgI-CdTe-CdTe-CdTe-CdTe-InSb,37.05
AgI-CdTe-CdTe-CdTe-InSb-InSb,37.2
AgI-CdTe-CdTe-InSb-InSb-InSb,39.59
AgI-CdTe-InSb-InSb-InSb-InSb,37.04
AgI-InSb-InSb-InSb-InSb-InSb,43.82
AlAs-AlAs-AlAs-AlAs-AlAs-AlAs,122.39
AlAs-AlAs-AlAs-AlAs-AlAs-CdS,89.93
AlAs-AlAs-AlAs-AlAs-AlAs-GaAs,123.09
AlAs-AlAs-AlAs-AlAs-CdS-CdS,83.56
AlAs-AlAs-AlAs-AlAs-CuBr-GaAs,80.87
AlAs-AlAs-AlAs-AlAs-GaAs-CdS,88.4
AlAs-AlAs-AlAs-AlAs-GaAs-GaAs,122.62
AlAs-AlAs-AlAs-AlAs-ZnSe-GaAs,106.92
AlAs-AlAs-AlAs-AlAs-ZnSe-ZnSe,93.86
AlAs-AlAs-AlAs-CdS-CdS-CdS,76.56
AlAs-AlAs-AlAs-CuBr-CuBr-GaAs,58.65
AlAs-AlAs-AlAs-CuBr-GaAs-GaAs,88.04
AlAs-AlAs-AlAs-CuBr-ZnSe-GaAs,63.88
AlAs-AlAs-AlAs-CuBr-ZnSe-ZnSe,60.26
AlAs-AlAs-AlAs-GaAs-CdS-CdS,83.36
AlAs-AlAs-AlAs-GaAs-GaAs-CdS,87.07
AlAs-AlAs-AlAs-GaAs-GaAs-GaAs,122.3
AlAs-AlAs-AlAs-ZnSe-GaAs-GaAs,103.17
AlAs-AlAs-AlAs-ZnSe-ZnSe-GaAs,92.98
AlAs-AlAs-AlAs-ZnSe-ZnSe-ZnSe,87.23
AlAs-AlAs-CdS-CdS-CdS-CdS,68.09
AlAs-AlAs-CuBr-CuBr-CuBr-ZnSe,52.03
AlAs-AlAs-CuBr-CuBr-GaAs-GaAs,64.49
AlAs-AlAs-CuBr-GaAs-GaAs-GaAs,81.6
AlAs-AlAs-CuBr-ZnSe-GaAs-GaAs,66.86
AlAs-AlAs-CuBr-ZnSe-ZnSe-GaAs,62.72
AlAs-AlAs-CuBr-ZnSe-ZnSe-ZnSe,61.48
AlAs-AlAs-GaAs-CdS-CdS-CdS,75.14
AlAs-AlAs-GaAs-GaAs-CdS-CdS,81.55
AlAs-AlAs-GaAs-GaAs-GaAs-CdS,85.71
AlAs-AlAs-GaAs-GaAs-GaAs-GaAs,120.74
AlAs-AlAs-ZnSe-GaAs-GaAs-GaAs,101.94
AlAs-AlAs-ZnSe-ZnSe-GaAs-GaAs,89.37
AlAs-AlAs-ZnSe-ZnSe-ZnSe-GaAs,87.5
AlAs-AlAs-ZnSe-ZnSe-ZnSe-ZnSe,86.88
AlAs-CdS-CdS-CdS-CdS-CdS,71.85
AlAs-CuBr-CuBr-GaAs-GaAs-GaAs,70.68
AlAs-CuBr-GaAs-GaAs-GaAs-GaAs,82.54
AlAs-CuBr-ZnSe-GaAs-GaAs-GaAs,70.89
AlAs-CuBr-ZnSe-ZnSe-ZnSe-GaAs,59.29
AlAs-CuBr-ZnSe-ZnSe-ZnSe-ZnSe,55.22
AlAs-GaAs-CdS-CdS-CdS-CdS,66.84
AlAs-GaAs-GaAs-CdS-CdS-CdS,72.87
AlAs-GaAs-GaAs-GaAs-CdS-CdS,79.58
AlAs-GaAs-GaAs-GaAs-GaAs-CdS,85.41
AlAs-GaAs-GaAs-GaAs-GaAs-GaAs,121.31
AlAs-ZnSe-GaAs-GaAs-GaAs-GaAs,99.95
AlAs-ZnSe-ZnSe-GaAs-GaAs-GaAs,88.66
AlAs-ZnSe-ZnSe-ZnSe-GaAs-GaAs,85.03
AlAs-ZnSe-ZnSe-ZnSe-ZnSe-GaAs,84.43
AlAs-ZnSe-ZnSe-ZnSe-ZnSe-ZnSe,91.41
AlN-AlN-AlN-AlN-AlN-AlN,382.53
AlN-AlN-AlN-AlN-AlN-SiC,365.07
AlN-AlN-AlN-AlN-SiC-SiC,363.31
AlN-AlN-AlN-SiC-SiC-SiC,347.85
AlN-AlN-SiC-SiC-SiC-SiC,390.39
AlN-SiC-SiC-SiC-SiC-SiC,418.49
AlP-AlP-AlP-AlP-AlP-AlP,146.42
AlP-AlP-AlP-AlP-AlP-GaP,148.32
AlP-AlP-AlP-AlP-AlP-ZnS,121.29
AlP-AlP-AlP-AlP-AlP-ZnSe,121.35
AlP-AlP-AlP-AlP-CuBr-GaP,107.78
AlP-AlP-AlP-AlP-CuBr-ZnSe,89.31
AlP-AlP-AlP-AlP-GaP-GaP,149.04
AlP-AlP-AlP-AlP-ZnSe-GaP,112.76
AlP-AlP-AlP-AlP-ZnSe-ZnSe,116.02
AlP-AlP-AlP-AlP-ZnS-GaP,125.78
AlP-AlP-AlP-AlP-ZnS-ZnS,116.52
AlP-AlP-AlP-CuBr-CuBr-ZnSe,58.0
AlP-AlP-AlP-CuBr-GaP-GaP,100.51
AlP-AlP-AlP-CuBr-ZnSe-ZnSe,73.21
AlP-AlP-AlP-GaP-GaP-GaP,149.84
AlP-AlP-AlP-ZnSe-GaP-GaP,113.33
AlP-AlP-AlP-ZnSe-ZnSe-GaP,103.09
AlP-AlP-AlP-ZnSe-ZnSe-ZnSe,99.71
AlP-AlP-AlP-ZnS-GaP-GaP,125.07
AlP-AlP-AlP-ZnS-ZnS-GaP,103.75
AlP-AlP-AlP-ZnS-ZnS-ZnS,104.7
AlP-AlP-CuBr-CuBr-CuBr-ZnSe,41.92
AlP-AlP-CuBr-GaP-GaP-GaP,105.79
AlP-AlP-CuBr-ZnSe-ZnSe-GaP,62.47
AlP-AlP-CuBr-ZnSe-ZnSe-ZnSe,53.23
AlP-AlP-GaP-GaP-GaP-GaP,150.28
AlP-AlP-ZnSe-GaP-GaP-GaP,113.1
AlP-AlP-ZnSe-ZnSe-GaP-GaP,105.61
AlP-AlP-ZnSe-ZnSe-ZnSe-GaP,93.79
AlP-AlP-ZnSe-ZnSe-ZnSe-ZnSe,99.22
AlP-AlP-ZnS-GaP-GaP-GaP,126.49
AlP-AlP-ZnS-ZnS-GaP-GaP,105.94
AlP-AlP-ZnS-ZnS-ZnS-GaP,100.64
AlP-AlP-ZnS-ZnS-ZnS-ZnS,108.55
AlP-CuBr-CuBr-ZnSe-GaP-GaP,67.84
AlP-CuBr-CuBr-ZnSe-ZnSe-GaP,54.03
AlP-CuBr-GaP-GaP-GaP-GaP,103.7
AlP-CuBr-ZnSe-ZnSe-GaP-GaP,53.75
AlP-CuBr-ZnSe-ZnSe-ZnSe-GaP,75.03
AlP-CuBr-ZnSe-ZnSe-ZnSe-ZnSe,60.14
