System_Name,A1_atom,B1_atom,A2_atom,B2_atom,gllbsc_ind_gap
AgNbLaAlO6,Ag,Nb,La,Al,4.1645432
AgNbLaInO6,Ag,Nb,La,In,4.192522296
AgNbMgTiO6,Ag,Nb,Mg,Ti,3.963856895
AgNbSnTiO6,Ag,Nb,Sn,Ti,2.8812394080000003
AgNbYAlO6,Ag,Nb,Y,Al,3.9582154889999996
AgTaAgNbO6,Ag,Ta,Ag,Nb,3.367340076
AgTaBaSnO6,Ag,Ta,Ba,Sn,4.115527804
AgTaCaGeO6,Ag,Ta,Ca,Ge,4.596741977
AgTaCaSiO6,Ag,Ta,Ca,Si,4.787204683
AgTaCaSnO6,Ag,Ta,Ca,Sn,4.567418298
AgTaCaTiO6,Ag,Ta,Ca,Ti,3.856408782
AgTaGaNbO6,Ag,Ta,Ga,Nb,1.784718332
AgTaKNbO6,Ag,Ta,K,Nb,3.43280078
AgTaKSbO6,Ag,Ta,K,Sb,4.2534372860000005
AgTaLaAlO6,Ag,Ta,La,Al,4.544527043
AgTaLiNbO6,Ag,Ta,Li,Nb,3.554350261
AgTaLiVO6,Ag,Ta,Li,V,1.6618566259999998
AgTaMgTiO6,Ag,Ta,Mg,Ti,4.541470588
AgTaNaNbO6,Ag,Ta,Na,Nb,3.523501827
AgTaNaVO6,Ag,Ta,Na,V,1.67087028
AgTaPbHfO6,Ag,Ta,Pb,Hf,4.468824182
AgTaPbTiO6,Ag,Ta,Pb,Ti,3.806312329
AgTaPbZrO6,Ag,Ta,Pb,Zr,4.43593134
AgTaRbNbO6,Ag,Ta,Rb,Nb,3.3720197539999996
AgTaSnHfO6,Ag,Ta,Sn,Hf,3.6760993760000003
AgTaSnTiO6,Ag,Ta,Sn,Ti,3.280047217
AgTaSrGeO6,Ag,Ta,Sr,Ge,4.5444283830000005
AgTaSrSiO6,Ag,Ta,Sr,Si,4.6922181389999995
AgTaSrTiO6,Ag,Ta,Sr,Ti,3.79098509
AgTaTlNbO6,Ag,Ta,Tl,Nb,1.792464465
BaHfAgNbO6,Ba,Hf,Ag,Nb,4.078047088
BaHfAgTaO6,Ba,Hf,Ag,Ta,4.189891965
BaHfBaSnO6,Ba,Hf,Ba,Sn,6.081554917999999
BaHfBaTiO6,Ba,Hf,Ba,Ti,4.617955975
BaHfBaZrO6,Ba,Hf,Ba,Zr,6.343123966
BaHfCaGeO6,Ba,Hf,Ca,Ge,6.3500809170000005
BaHfCaHfO6,Ba,Hf,Ca,Hf,7.1057802820000004
BaHfCaSiO6,Ba,Hf,Ca,Si,7.124555422
