"6-block periodic repeat unit
for wurtzite superlattices along the [0001] direction",c13 (GPa)
AgI-AgI-AgI-CdTe-CdTe-InSb,11.66
AgI-AgI-CdTe-CdTe-CdTe-InSb,26.03
AgI-CdTe-CdTe-CdTe-CdTe-CdTe,11.44
AgI-CdTe-InSb-InSb-InSb-InSb,11.31
AlAs-AlAs-AlAs-AlAs-AlAs-AlAs,31.68
AlAs-AlAs-AlAs-AlAs-AlAs-CdS,29.17
AlAs-AlAs-AlAs-AlAs-AlAs-GaAs,30.54
AlAs-AlAs-AlAs-AlAs-CdS-CdS,32.95
AlAs-AlAs-AlAs-AlAs-CuBr-GaAs,18.61
AlAs-AlAs-AlAs-AlAs-GaAs-CdS,30.42
AlAs-AlAs-AlAs-AlAs-GaAs-GaAs,29.02
AlAs-AlAs-AlAs-AlAs-ZnSe-GaAs,19.81
AlAs-AlAs-AlAs-AlAs-ZnSe-ZnSe,24.38
AlAs-AlAs-AlAs-CdS-CdS-CdS,34.9
AlAs-AlAs-AlAs-CuBr-CuBr-GaAs,3.72
AlAs-AlAs-AlAs-CuBr-GaAs-GaAs,29.63
AlAs-AlAs-AlAs-CuBr-ZnSe-GaAs,22.8
AlAs-AlAs-AlAs-CuBr-ZnSe-ZnSe,3.54
AlAs-AlAs-AlAs-GaAs-GaAs-CdS,27.45
AlAs-AlAs-AlAs-GaAs-GaAs-GaAs,28.04
AlAs-AlAs-AlAs-ZnSe-GaAs-GaAs,14.38
AlAs-AlAs-AlAs-ZnSe-ZnSe-ZnSe,28.61
AlAs-AlAs-CdS-CdS-CdS-CdS,35.62
AlAs-AlAs-CuBr-CuBr-GaAs-GaAs,31.75
AlAs-AlAs-CuBr-ZnSe-GaAs-GaAs,18.93
AlAs-AlAs-CuBr-ZnSe-ZnSe-GaAs,0.32
AlAs-AlAs-CuBr-ZnSe-ZnSe-ZnSe,8.94
AlAs-AlAs-GaAs-CdS-CdS-CdS,33.81
AlAs-AlAs-GaAs-GaAs-CdS-CdS,31.16
AlAs-AlAs-GaAs-GaAs-GaAs-CdS,25.71
AlAs-AlAs-GaAs-GaAs-GaAs-GaAs,25.97
AlAs-AlAs-ZnSe-ZnSe-GaAs-GaAs,25.47
AlAs-AlAs-ZnSe-ZnSe-ZnSe-GaAs,30.12
AlAs-AlAs-ZnSe-ZnSe-ZnSe-ZnSe,29.56
AlAs-CdS-CdS-CdS-CdS-CdS,36.69
AlAs-CuBr-CuBr-GaAs-GaAs-GaAs,20.92
AlAs-CuBr-GaAs-GaAs-GaAs-GaAs,29.96
AlAs-CuBr-ZnSe-GaAs-GaAs-GaAs,13.23
AlAs-CuBr-ZnSe-ZnSe-ZnSe-ZnSe,8.05
AlAs-GaAs-GaAs-CdS-CdS-CdS,32.04
AlAs-GaAs-GaAs-GaAs-CdS-CdS,29.49
AlAs-GaAs-GaAs-GaAs-GaAs-GaAs,24.94
AlAs-ZnSe-ZnSe-GaAs-GaAs-GaAs,23.9
AlAs-ZnSe-ZnSe-ZnSe-GaAs-GaAs,27.1
AlAs-ZnSe-ZnSe-ZnSe-ZnSe-GaAs,30.4
AlAs-ZnSe-ZnSe-ZnSe-ZnSe-ZnSe,31.46
AlN-AlN-AlN-AlN-AlN-AlN,100.24
AlN-AlN-AlN-AlN-AlN-SiC,95.05
AlN-AlN-AlN-AlN-SiC-SiC,95.66
AlN-AlN-AlN-SiC-SiC-SiC,95.68
AlN-AlN-SiC-SiC-SiC-SiC,87.5
AlN-SiC-SiC-SiC-SiC-SiC,67.59
AlP-AlP-AlP-AlP-AlP-AlP,41.85
AlP-AlP-AlP-AlP-AlP-GaP,39.74
AlP-AlP-AlP-AlP-AlP-ZnSe,25.2
AlP-AlP-AlP-AlP-CuBr-GaP,34.55
AlP-AlP-AlP-AlP-CuBr-ZnSe,21.95
AlP-AlP-AlP-AlP-ZnSe-GaP,14.84
AlP-AlP-AlP-AlP-ZnSe-ZnSe,20.29
AlP-AlP-AlP-AlP-ZnS-GaP,17.49
AlP-AlP-AlP-CuBr-CuBr-ZnSe,27.64
AlP-AlP-AlP-CuBr-ZnSe-ZnSe,15.48
AlP-AlP-AlP-ZnSe-ZnSe-GaP,24.77
AlP-AlP-AlP-ZnS-GaP-GaP,18.24
AlP-AlP-AlP-ZnS-ZnS-GaP,27.95
AlP-AlP-AlP-ZnS-ZnS-ZnS,34.21
AlP-AlP-CuBr-CuBr-CuBr-ZnSe,11.31
AlP-AlP-CuBr-GaP-GaP-GaP,24.6
AlP-AlP-CuBr-ZnSe-ZnSe-ZnSe,1.55
AlP-AlP-GaP-GaP-GaP-GaP,35.75
AlP-AlP-ZnSe-GaP-GaP-GaP,11.89
AlP-AlP-ZnSe-ZnSe-GaP-GaP,24.58
AlP-AlP-ZnSe-ZnSe-ZnSe-GaP,27.44
AlP-AlP-ZnSe-ZnSe-ZnSe-ZnSe,30.17
AlP-AlP-ZnS-ZnS-GaP-GaP,26.78
AlP-AlP-ZnS-ZnS-ZnS-GaP,33.87
AlP-AlP-ZnS-ZnS-ZnS-ZnS,35.7
AlP-CuBr-CuBr-ZnSe-ZnSe-GaP,1.48
AlP-CuBr-GaP-GaP-GaP-GaP,22.52
AlP-CuBr-ZnSe-ZnSe-GaP-GaP,6.3
AlP-CuBr-ZnSe-ZnSe-ZnSe-GaP,17.81
AlP-CuBr-ZnSe-ZnSe-ZnSe-ZnSe,7.44
AlP-GaP-GaP-GaP-GaP-GaP,34.85
AlP-ZnSe-ZnSe-ZnSe-ZnSe-GaP,31.39
AlP-ZnSe-ZnSe-ZnSe-ZnSe-ZnSe,30.96
AlP-ZnS-GaP-GaP-GaP-GaP,16.96
AlP-ZnS-ZnS-GaP-GaP-GaP,26.77
AlP-ZnS-ZnS-ZnS-GaP-GaP,32.96
AlP-ZnS-ZnS-ZnS-ZnS-GaP,36.12
AlP-ZnS-ZnS-ZnS-ZnS-ZnS,37.64
AlSb-AlSb-AlSb-AlSb-AlSb-AlSb,23.15
AlSb-AlSb-AlSb-AlSb-AlSb-GaSb,22.31
AlSb-AlSb-AlSb-AlSb-AlSb-InAs,23.77
AlSb-AlSb-AlSb-AlSb-AlSb-ZnTe,11.96
AlSb-AlSb-AlSb-AlSb-CdSe-CdSe,25.96
AlSb-AlSb-AlSb-AlSb-CdSe-InAs,27.81
AlSb-AlSb-AlSb-AlSb-GaSb-CdSe,22.6
AlSb-AlSb-AlSb-AlSb-GaSb-InAs,22.75
AlSb-AlSb-AlSb-AlSb-InAs-InAs,24.63
AlSb-AlSb-AlSb-AlSb-ZnTe-CdSe,22.93
AlSb-AlSb-AlSb-AlSb-ZnTe-GaSb,15.68
AlSb-AlSb-AlSb-AlSb-ZnTe-InAs,19.4
AlSb-AlSb-AlSb-CdSe-InAs-InAs,27.89
AlSb-AlSb-AlSb-GaSb-CdSe-InAs,27.45
AlSb-AlSb-AlSb-GaSb-GaSb-CdSe,21.86
AlSb-AlSb-AlSb-GaSb-GaSb-GaSb,20.22
AlSb-AlSb-AlSb-GaSb-GaSb-InAs,21.52
AlSb-AlSb-AlSb-InAs-InAs-InAs,24.7
AlSb-AlSb-AlSb-ZnTe-CdSe-CdSe,25.28
AlSb-AlSb-AlSb-ZnTe-CdSe-InAs,26.3
AlSb-AlSb-AlSb-ZnTe-GaSb-InAs,20.49
AlSb-AlSb-AlSb-ZnTe-InAs-InAs,26.42
AlSb-AlSb-AlSb-ZnTe-ZnTe-GaSb,21.87
AlSb-AlSb-AlSb-ZnTe-ZnTe-InAs,23.66
AlSb-AlSb-AlSb-ZnTe-ZnTe-ZnTe,22.47
AlSb-AlSb-CdSe-CdSe-CdSe-CdSe,28.63
AlSb-AlSb-CdSe-CdSe-CdSe-InAs,30.93
AlSb-AlSb-CdSe-CdSe-InAs-InAs,29.88
AlSb-AlSb-GaSb-CdSe-CdSe-CdSe,27.0
AlSb-AlSb-GaSb-CdSe-CdSe-InAs,29.06
AlSb-AlSb-GaSb-GaSb-CdSe-CdSe,24.51
AlSb-AlSb-GaSb-GaSb-CdSe-InAs,22.2
AlSb-AlSb-GaSb-GaSb-GaSb-CdSe,21.82
