"Systems
Composition","Electron
Affinity (eV)"
CH2 CH2 CH2 CH2,0.574
CH2 CH2 CH2 GeF2,1.49
CH2 CH2 CH2 GeCl2,3.272
CH2 CH2 CH2 SiCl2,0.989
CH2 CH2 CH2 SnCl2,3.115
CH2 CH2 GeCl2 GeCl2,3.472
CH2 CH2 SiF2 GeF2,3.703
CH2 CH2 SiF2 GeCl2,2.335
CH2 CH2 SiF2 SiF2,1.921
CH2 CH2 SiCl2 GeCl2,2.482
CH2 CH2 SiCl2 SiF2,2.045
CH2 CH2 SiCl2 SiCl2,2.127
CH2 CH2 SnF2 GeCl2,3.933
CH2 CH2 SnF2 SiF2,3.448
CH2 CH2 SnF2 SiCl2,3.282
CH2 CH2 SnF2 SnF2,4.4430000000000005
CH2 CH2 SnCl2 GeF2,4.549
CH2 CH2 SnCl2 GeCl2,4.29
CH2 CH2 SnCl2 SiF2,4.046
CH2 CH2 SnCl2 SiCl2,3.549
CH2 CH2 SnCl2 SnF2,4.16
CH2 CH2 SnCl2 SnCl2,4.211
CH2 GeF2 CH2 GeF2,2.194
CH2 GeF2 CH2 GeCl2,2.211
CH2 GeF2 CH2 SiF2,1.801
CH2 GeF2 CH2 SiCl2,1.759
CH2 GeF2 CH2 SnF2,2.911
CH2 GeF2 CH2 SnCl2,2.8310000000000004
CH2 GeF2 SiF2 GeF2,3.304
CH2 GeF2 SiCl2 GeF2,3.235
CH2 GeF2 SnF2 GeF2,4.367
CH2 GeF2 SnCl2 GeF2,4.327
CH2 GeCl2 CH2 GeCl2,2.557
CH2 GeCl2 CH2 SiF2,2.105
CH2 GeCl2 CH2 SiCl2,2.4
CH2 GeCl2 CH2 SnCl2,2.9560000000000004
CH2 GeCl2 GeF2 GeF2,3.925
CH2 GeCl2 GeCl2 GeF2,4.246
CH2 GeCl2 GeCl2 GeCl2,4.285
CH2 GeCl2 SiF2 GeCl2,3.524
CH2 GeCl2 SiCl2 GeF2,3.4760000000000004
CH2 GeCl2 SiCl2 GeCl2,3.567
CH2 GeCl2 SnF2 GeCl2,4.698
CH2 GeCl2 SnCl2 GeF2,4.355
CH2 GeCl2 SnCl2 GeCl2,4.585
CH2 SiF2 CH2 SiF2,1.328
CH2 SiF2 CH2 SiCl2,1.234
CH2 SiF2 CH2 SnCl2,2.727
CH2 SiF2 GeF2 GeF2,3.392
CH2 SiF2 GeF2 SiF2,3.0
CH2 SiF2 GeCl2 GeF2,3.4
CH2 SiF2 GeCl2 GeCl2,3.596
CH2 SiF2 GeCl2 SiF2,2.945
CH2 SiF2 SiF2 GeF2,3.123
CH2 SiF2 SiF2 GeCl2,3.031
CH2 SiF2 SiF2 SiF2,2.85
CH2 SiF2 SiCl2 GeCl2,3.096
CH2 SiF2 SnF2 GeF2,3.699
CH2 SiF2 SnF2 GeCl2,3.913
CH2 SiF2 SnF2 SiF2,3.494
CH2 SiF2 SnCl2 GeF2,3.734
CH2 SiF2 SnCl2 SiF2,3.152
CH2 SiCl2 CH2 SiCl2,1.5619999999999998
CH2 SiCl2 CH2 SnCl2,2.9130000000000003
CH2 SiCl2 GeF2 GeF2,3.373
CH2 SiCl2 GeF2 SiF2,2.904
CH2 SiCl2 GeF2 SiCl2,3.284
CH2 SiCl2 GeCl2 GeF2,3.723
CH2 SiCl2 GeCl2 GeCl2,3.905
CH2 SiCl2 GeCl2 SiF2,3.023
CH2 SiCl2 SiF2 GeF2,3.169
CH2 SiCl2 SiF2 SiF2,2.8510000000000004
CH2 SiCl2 SiF2 SiCl2,2.93
CH2 SiCl2 SiCl2 GeF2,3.0010000000000003
CH2 SiCl2 SiCl2 GeCl2,3.339
CH2 SiCl2 SiCl2 SiF2,2.755
CH2 SiCl2 SiCl2 SiCl2,2.9930000000000003
CH2 SiCl2 SnF2 GeF2,3.819
CH2 SiCl2 SnF2 GeCl2,4.14
CH2 SiCl2 SnF2 SiF2,3.138
CH2 SiCl2 SnF2 SiCl2,3.514
CH2 SiCl2 SnCl2 GeF2,3.871
CH2 SiCl2 SnCl2 GeCl2,4.221
CH2 SiCl2 SnCl2 SiF2,3.257
CH2 SnF2 CH2 SnF2,3.221
CH2 SnF2 CH2 SnCl2,3.117
CH2 SnF2 GeF2 GeF2,4.331
CH2 SnF2 GeF2 GeCl2,4.239
CH2 SnF2 GeF2 SnF2,4.595
CH2 SnF2 GeCl2 GeF2,4.39
CH2 SnF2 GeCl2 SiF2,3.957
CH2 SnF2 GeCl2 SiCl2,3.954
CH2 SnF2 GeCl2 SnF2,4.654
CH2 SnF2 SiF2 GeF2,3.424
CH2 SnF2 SiF2 GeCl2,3.5980000000000003
CH2 SnF2 SiF2 SiF2,3.393
CH2 SnF2 SiF2 SiCl2,3.294
CH2 SnF2 SiF2 SnF2,3.888
CH2 SnF2 SiCl2 GeF2,3.778
CH2 SnF2 SiCl2 GeCl2,3.705
CH2 SnF2 SiCl2 SiF2,3.423
CH2 SnF2 SiCl2 SiCl2,3.415
CH2 SnF2 SiCl2 SnF2,3.967
CH2 SnF2 SnF2 GeF2,4.798
CH2 SnF2 SnF2 GeCl2,4.721
CH2 SnF2 SnF2 SiF2,4.129
CH2 SnF2 SnF2 SnF2,4.839
CH2 SnF2 SnCl2 GeF2,4.595
CH2 SnF2 SnCl2 GeCl2,4.584
CH2 SnF2 SnCl2 SiF2,4.115
CH2 SnF2 SnCl2 SiCl2,4.177
CH2 SnCl2 CH2 SnCl2,3.25
CH2 SnCl2 GeF2 GeF2,4.248
CH2 SnCl2 GeF2 SiF2,3.878
CH2 SnCl2 GeF2 SiCl2,4.008
CH2 SnCl2 GeF2 SnF2,4.462
CH2 SnCl2 GeF2 SnCl2,4.537
CH2 SnCl2 GeCl2 GeF2,4.324
CH2 SnCl2 GeCl2 GeCl2,4.471
CH2 SnCl2 GeCl2 SiF2,3.967
CH2 SnCl2 GeCl2 SiCl2,4.18
CH2 SnCl2 GeCl2 SnF2,4.581
CH2 SnCl2 SiF2 GeF2,3.4410000000000003
CH2 SnCl2 SiF2 GeCl2,3.5410000000000004
CH2 SnCl2 SiF2 SnF2,3.637
CH2 SnCl2 SiF2 SnCl2,3.761
CH2 SnCl2 SiCl2 SiF2,3.407
CH2 SnCl2 SiCl2 SiCl2,3.615
CH2 SnCl2 SiCl2 SnF2,3.846
CH2 SnCl2 SnF2 GeF2,4.686
CH2 SnCl2 SnF2 GeCl2,4.755
CH2 SnCl2 SnF2 SiF2,4.213
CH2 SnCl2 SnF2 SiCl2,4.325
CH2 SnCl2 SnF2 SnF2,4.83
CH2 SnCl2 SnF2 SnCl2,4.865
CH2 SnCl2 SnCl2 GeF2,4.622
CH2 SnCl2 SnCl2 GeCl2,4.754
CH2 SnCl2 SnCl2 SiF2,4.214
CH2 SnCl2 SnCl2 SiCl2,4.465
CH2 SnCl2 SnCl2 SnCl2,4.909
