"6-block periodic repeat unit
for wurtzite superlattices along the [0001] direction",c33 (GPa)
AgI-AgI-AgI-AgI-InSb-InSb,25.85
AgI-AgI-AgI-InSb-InSb-InSb,29.12
AgI-AgI-CdTe-CdTe-CdTe-InSb,27.22
AgI-CdTe-CdTe-CdTe-CdTe-InSb,27.82
AgI-CdTe-CdTe-CdTe-InSb-InSb,25.31
AgI-CdTe-CdTe-InSb-InSb-InSb,25.55
AgI-CdTe-InSb-InSb-InSb-InSb,24.75
AgI-InSb-InSb-InSb-InSb-InSb,40.27
AlAs-AlAs-AlAs-AlAs-AlAs-AlAs,141.25
AlAs-AlAs-AlAs-AlAs-AlAs-CdS,107.1
AlAs-AlAs-AlAs-AlAs-AlAs-GaAs,142.17
AlAs-AlAs-AlAs-AlAs-GaAs-CdS,111.57
AlAs-AlAs-AlAs-AlAs-GaAs-GaAs,142.59
AlAs-AlAs-AlAs-AlAs-ZnSe-GaAs,72.38
AlAs-AlAs-AlAs-AlAs-ZnSe-ZnSe,86.0
AlAs-AlAs-AlAs-CdS-CdS-CdS,94.91
AlAs-AlAs-AlAs-CuBr-ZnSe-GaAs,35.05
AlAs-AlAs-AlAs-CuBr-ZnSe-ZnSe,16.23
AlAs-AlAs-AlAs-GaAs-CdS-CdS,101.11
AlAs-AlAs-AlAs-GaAs-GaAs-CdS,108.37
AlAs-AlAs-AlAs-GaAs-GaAs-GaAs,142.64
AlAs-AlAs-AlAs-ZnSe-ZnSe-GaAs,97.23
AlAs-AlAs-AlAs-ZnSe-ZnSe-ZnSe,95.15
AlAs-AlAs-CdS-CdS-CdS-CdS,88.28
AlAs-AlAs-CuBr-CuBr-CuBr-ZnSe,44.39
AlAs-AlAs-CuBr-GaAs-GaAs-GaAs,39.83
AlAs-AlAs-CuBr-ZnSe-ZnSe-ZnSe,28.04
AlAs-AlAs-GaAs-CdS-CdS-CdS,95.28
AlAs-AlAs-GaAs-GaAs-CdS-CdS,101.5
AlAs-AlAs-GaAs-GaAs-GaAs-CdS,105.39
AlAs-AlAs-ZnSe-GaAs-GaAs-GaAs,70.06
