"6-block periodic repeat unit
for wurtzite superlattices along the [0001] direction",c33 (GPa)
AgI-AgI-AgI-AgI-InSb-InSb,25.85
AgI-AgI-AgI-CdTe-CdTe-InSb,30.34
AgI-AgI-AgI-InSb-InSb-InSb,29.12
AgI-AgI-CdTe-CdTe-CdTe-InSb,27.22
AgI-CdTe-CdTe-CdTe-CdTe-CdTe,27.64
AgI-CdTe-CdTe-CdTe-CdTe-InSb,27.82
AgI-CdTe-CdTe-CdTe-InSb-InSb,25.31
AgI-CdTe-CdTe-InSb-InSb-InSb,25.55
AgI-CdTe-InSb-InSb-InSb-InSb,24.75
AgI-InSb-InSb-InSb-InSb-InSb,40.27
AlAs-AlAs-AlAs-AlAs-AlAs-CdS,107.1
AlAs-AlAs-AlAs-AlAs-AlAs-GaAs,142.17
AlAs-AlAs-AlAs-AlAs-CdS-CdS,102.79
AlAs-AlAs-AlAs-AlAs-CuBr-GaAs,74.33
AlAs-AlAs-AlAs-AlAs-GaAs-CdS,111.57
AlAs-AlAs-AlAs-AlAs-GaAs-GaAs,142.59
AlAs-AlAs-AlAs-AlAs-ZnSe-GaAs,72.38
AlAs-AlAs-AlAs-AlAs-ZnSe-ZnSe,86.0
AlAs-AlAs-AlAs-CdS-CdS-CdS,94.91
AlAs-AlAs-AlAs-CuBr-CuBr-GaAs,50.28
AlAs-AlAs-AlAs-CuBr-GaAs-GaAs,68.17
AlAs-AlAs-AlAs-CuBr-ZnSe-GaAs,35.05
AlAs-AlAs-AlAs-GaAs-CdS-CdS,101.11
AlAs-AlAs-AlAs-GaAs-GaAs-GaAs,142.64
AlAs-AlAs-AlAs-ZnSe-GaAs-GaAs,66.52
AlAs-AlAs-AlAs-ZnSe-ZnSe-GaAs,97.23
AlAs-AlAs-CuBr-CuBr-CuBr-ZnSe,44.39
AlAs-AlAs-CuBr-CuBr-GaAs-GaAs,55.69
AlAs-AlAs-CuBr-GaAs-GaAs-GaAs,39.83
AlAs-AlAs-CuBr-ZnSe-GaAs-GaAs,26.88
AlAs-AlAs-CuBr-ZnSe-ZnSe-GaAs,16.02
AlAs-AlAs-CuBr-ZnSe-ZnSe-ZnSe,28.04
AlAs-AlAs-GaAs-CdS-CdS-CdS,95.28
AlAs-AlAs-GaAs-GaAs-CdS-CdS,101.5
AlAs-AlAs-GaAs-GaAs-GaAs-GaAs,141.92
AlAs-AlAs-ZnSe-GaAs-GaAs-GaAs,70.06
AlAs-AlAs-ZnSe-ZnSe-GaAs-GaAs,97.15
AlAs-AlAs-ZnSe-ZnSe-ZnSe-GaAs,100.95
AlAs-CdS-CdS-CdS-CdS-CdS,84.14
AlAs-CuBr-CuBr-GaAs-GaAs-GaAs,53.61
AlAs-CuBr-GaAs-GaAs-GaAs-GaAs,50.33
AlAs-CuBr-ZnSe-GaAs-GaAs-GaAs,29.92
AlAs-CuBr-ZnSe-ZnSe-ZnSe-GaAs,31.9
AlAs-CuBr-ZnSe-ZnSe-ZnSe-ZnSe,25.3
AlAs-GaAs-CdS-CdS-CdS-CdS,86.35
AlAs-GaAs-GaAs-CdS-CdS-CdS,93.77
AlAs-GaAs-GaAs-GaAs-CdS-CdS,100.06
AlAs-GaAs-GaAs-GaAs-GaAs-CdS,105.21
AlAs-ZnSe-GaAs-GaAs-GaAs-GaAs,79.32
AlAs-ZnSe-ZnSe-GaAs-GaAs-GaAs,95.4
AlAs-ZnSe-ZnSe-ZnSe-GaAs-GaAs,95.11
AlN-AlN-AlN-AlN-AlN-AlN,363.22
AlN-AlN-AlN-AlN-AlN-SiC,345.96
AlN-AlN-AlN-SiC-SiC-SiC,326.92
AlP-AlP-AlP-AlP-AlP-GaP,171.13
AlP-AlP-AlP-AlP-AlP-ZnS,48.76
AlP-AlP-AlP-AlP-CuBr-GaP,104.54
AlP-AlP-AlP-AlP-GaP-GaP,172.72
AlP-AlP-AlP-AlP-ZnSe-GaP,56.85
AlP-AlP-AlP-AlP-ZnSe-ZnSe,76.35
AlP-AlP-AlP-AlP-ZnS-ZnS,70.25
AlP-AlP-AlP-CuBr-GaP-GaP,87.68
AlP-AlP-AlP-CuBr-ZnSe-ZnSe,34.7
AlP-AlP-AlP-GaP-GaP-GaP,174.93
AlP-AlP-AlP-ZnSe-GaP-GaP,52.61
AlP-AlP-AlP-ZnSe-ZnSe-GaP,90.9
AlP-AlP-AlP-ZnSe-ZnSe-ZnSe,93.81
AlP-AlP-AlP-ZnS-GaP-GaP,80.08
AlP-AlP-AlP-ZnS-ZnS-ZnS,111.92
AlP-AlP-CuBr-GaP-GaP-GaP,86.8
AlP-AlP-CuBr-ZnSe-ZnSe-GaP,38.14
AlP-AlP-CuBr-ZnSe-ZnSe-ZnSe,23.51
AlP-AlP-GaP-GaP-GaP-GaP,176.12
AlP-AlP-ZnSe-GaP-GaP-GaP,56.21
AlP-AlP-ZnSe-ZnSe-GaP-GaP,92.36
AlP-AlP-ZnSe-ZnSe-ZnSe-GaP,100.11
AlP-AlP-ZnS-GaP-GaP-GaP,70.58
AlP-AlP-ZnS-ZnS-GaP-GaP,107.5
AlP-AlP-ZnS-ZnS-ZnS-GaP,117.53
AlP-AlP-ZnS-ZnS-ZnS-ZnS,114.46
AlP-CuBr-CuBr-ZnSe-GaP-GaP,36.59
AlP-CuBr-CuBr-ZnSe-ZnSe-GaP,27.0
AlP-CuBr-GaP-GaP-GaP-GaP,77.9
AlP-CuBr-ZnSe-ZnSe-GaP-GaP,33.53
AlP-CuBr-ZnSe-ZnSe-ZnSe-GaP,46.05
AlP-CuBr-ZnSe-ZnSe-ZnSe-ZnSe,33.92
AlP-ZnSe-ZnSe-GaP-GaP-GaP,96.05
AlP-ZnSe-ZnSe-ZnSe-GaP-GaP,99.23
AlP-ZnSe-ZnSe-ZnSe-ZnSe-ZnSe,107.52
AlP-ZnS-GaP-GaP-GaP-GaP,88.85
AlP-ZnS-ZnS-GaP-GaP-GaP,109.24
AlP-ZnS-ZnS-ZnS-GaP-GaP,116.98
AlP-ZnS-ZnS-ZnS-ZnS-GaP,121.13
AlP-ZnS-ZnS-ZnS-ZnS-ZnS,123.52
AlSb-AlSb-AlSb-AlSb-AlSb-AlSb,104.81
AlSb-AlSb-AlSb-AlSb-AlSb-CdSe,86.71
AlSb-AlSb-AlSb-AlSb-AlSb-GaSb,105.01
AlSb-AlSb-AlSb-AlSb-AlSb-ZnTe,67.52
AlSb-AlSb-AlSb-AlSb-CdSe-CdSe,79.33
AlSb-AlSb-AlSb-AlSb-CdSe-InAs,80.96
AlSb-AlSb-AlSb-AlSb-GaSb-CdSe,84.47
AlSb-AlSb-AlSb-AlSb-GaSb-GaSb,104.51
AlSb-AlSb-AlSb-AlSb-GaSb-InAs,102.6
AlSb-AlSb-AlSb-AlSb-InAs-InAs,101.56
AlSb-AlSb-AlSb-AlSb-ZnTe-CdSe,83.68
AlSb-AlSb-AlSb-AlSb-ZnTe-GaSb,75.67
