"Systems
Composition","Atomization
Eng. (eV)"
CH2 CH2 CH2 CH2,-16.332
CH2 CH2 CH2 GeF2,-15.639
CH2 CH2 CH2 GeCl2,-14.443
CH2 CH2 CH2 SiCl2,-15.302
CH2 CH2 CH2 SnCl2,-14.361
CH2 CH2 GeCl2 GeCl2,-13.239
CH2 CH2 SiF2 GeF2,-15.333
CH2 CH2 SiF2 GeCl2,-14.824000000000002
CH2 CH2 SiF2 SiF2,-16.405
CH2 CH2 SiCl2 GeCl2,-13.704
CH2 CH2 SiCl2 SiF2,-15.288
CH2 CH2 SiCl2 SiCl2,-14.174
CH2 CH2 SnF2 GeCl2,-13.838
CH2 CH2 SnF2 SiF2,-15.22
CH2 CH2 SnF2 SiCl2,-14.093
CH2 CH2 SnF2 SnF2,-14.483
CH2 CH2 SnCl2 GeF2,-13.402
CH2 CH2 SnCl2 GeCl2,-12.547
CH2 CH2 SnCl2 SiF2,-14.308
CH2 CH2 SnCl2 SiCl2,-13.186
CH2 CH2 SnCl2 SnF2,-13.658
CH2 CH2 SnCl2 SnCl2,-12.841
CH2 GeF2 CH2 GeF2,-14.92
CH2 GeF2 CH2 GeCl2,-14.027
CH2 GeF2 CH2 SiF2,-15.789
CH2 GeF2 CH2 SiCl2,-14.613
CH2 GeF2 CH2 SnF2,-14.609000000000002
CH2 GeF2 CH2 SnCl2,-13.804
CH2 GeF2 SiF2 GeF2,-14.88
CH2 GeF2 SiCl2 GeF2,-13.786
CH2 GeF2 SnF2 GeF2,-14.033
CH2 GeF2 SnCl2 GeF2,-13.244000000000002
CH2 GeCl2 CH2 GeCl2,-13.084
CH2 GeCl2 CH2 SiF2,-14.886
CH2 GeCl2 CH2 SiCl2,-13.654000000000002
CH2 GeCl2 CH2 SnCl2,-12.882
CH2 GeCl2 GeF2 GeF2,-13.395
CH2 GeCl2 GeCl2 GeF2,-12.524
CH2 GeCl2 GeCl2 GeCl2,-11.662
CH2 GeCl2 SiF2 GeCl2,-13.115
CH2 GeCl2 SiCl2 GeF2,-12.905
CH2 GeCl2 SiCl2 GeCl2,-12.042
CH2 GeCl2 SnF2 GeCl2,-12.279000000000002
CH2 GeCl2 SnCl2 GeF2,-12.385
CH2 GeCl2 SnCl2 GeCl2,-11.513
CH2 SiF2 CH2 SiF2,-16.639
CH2 SiF2 CH2 SiCl2,-15.456
CH2 SiF2 CH2 SnCl2,-14.667
CH2 SiF2 GeF2 GeF2,-15.022
CH2 SiF2 GeF2 SiF2,-15.755999999999998
CH2 SiF2 GeCl2 GeF2,-14.171
CH2 SiF2 GeCl2 GeCl2,-13.299
CH2 SiF2 GeCl2 SiF2,-14.913
CH2 SiF2 SiF2 GeF2,-15.644
CH2 SiF2 SiF2 GeCl2,-14.776
CH2 SiF2 SiF2 SiF2,-16.378
CH2 SiF2 SiCl2 GeCl2,-13.688
CH2 SiF2 SnF2 GeF2,-14.775
CH2 SiF2 SnF2 GeCl2,-13.908
CH2 SiF2 SnF2 SiF2,-15.225
CH2 SiF2 SnCl2 GeF2,-13.989
CH2 SiF2 SnCl2 SiF2,-14.706
CH2 SiCl2 CH2 SiCl2,-14.206
CH2 SiCl2 CH2 SnCl2,-13.467
CH2 SiCl2 GeF2 GeF2,-13.898
CH2 SiCl2 GeF2 SiF2,-14.628
CH2 SiCl2 GeF2 SiCl2,-13.454
CH2 SiCl2 GeCl2 GeF2,-13.027
CH2 SiCl2 GeCl2 GeCl2,-12.157
CH2 SiCl2 GeCl2 SiF2,-13.759
CH2 SiCl2 SiF2 GeF2,-14.475
CH2 SiCl2 SiF2 SiF2,-15.196
CH2 SiCl2 SiF2 SiCl2,-14.112
